"officer_id","stop_date"
"D003",2013-01-01
"D003",2013-01-01
"D003",2013-01-05
"D003",2013-01-26
"D003",2013-01-26
"D003",2013-01-26
"D003",2013-01-28
"D003",2013-01-28
"D003",2013-01-28
"D003",2013-01-28
"D003",2013-01-28
"D003",2013-01-28
"D003",2013-02-01
"D003",2013-02-01
"D003",2013-02-01
"D003",2013-02-04
"D003",2013-02-10
"D003",2013-02-10
"D003",2013-02-10
"D003",2013-02-11
"D003",2013-02-16
"D003",2013-02-23
"D003",2013-04-14
"D003",2013-04-21
"D003",2013-04-21
"D003",2013-04-21
"D003",2013-05-03
"D003",2013-05-03
"D003",2013-05-05
"D003",2013-05-11
"D003",2013-05-21
"D003",2013-05-24
"D003",2013-05-24
"D003",2013-05-24
"D003",2013-05-26
"D003",2013-05-27
"D003",2013-05-29
"D003",2013-05-29
"D003",2013-05-29
"D003",2013-05-29
"D003",2013-06-15
"D003",2013-06-29
"D003",2013-06-29
"D003",2013-06-29
"D003",2013-06-30
"D003",2013-07-03
"D003",2013-07-13
"D003",2013-08-03
"D003",2013-08-03
"D003",2013-08-16
"D003",2013-08-30
"D003",2013-08-30
"D003",2013-08-31
"D003",2013-10-04
"D003",2013-10-04
"D003",2013-10-05
"D003",2013-10-05
"D003",2013-10-05
"D003",2013-10-05
"D003",2013-10-12
"D003",2013-10-12
"D003",2013-10-19
"D003",2013-11-22
"D003",2013-11-30
"D003",2013-11-30
"D003",2013-11-30
"D003",2013-11-30
"D003",2013-11-30
"D003",2013-11-30
"D003",2013-11-30
"D003",2013-12-31
"D003",2014-01-16
"D003",2014-01-18
"D003",2014-01-19
"D003",2014-02-01
"D003",2014-02-02
"D003",2014-02-15
"D003",2014-02-16
"D003",2014-03-01
"D003",2014-03-01
"D003",2014-03-01
"D003",2014-03-15
"D003",2014-03-21
"D003",2014-03-21
"D003",2014-03-21
"D003",2014-04-06
"D003",2014-04-11
"D003",2014-04-13
"D003",2014-04-26
"D003",2014-04-27
"D003",2014-04-27
"D003",2014-05-22
"D003",2014-05-22
"D003",2014-05-22
"D003",2014-05-23
"D003",2014-05-23
"D003",2014-05-23
"D003",2014-06-07
"D003",2014-06-07
"D003",2014-06-07
"D003",2014-06-11
"D003",2014-06-11
"D003",2014-06-11
"D003",2014-06-11
"D003",2014-06-14
"D003",2014-06-20
"D003",2014-06-20
"D003",2014-06-21
"D003",2014-07-05
"D003",2014-07-19
"D003",2014-07-19
"D003",2014-08-01
"D003",2014-08-29
"D003",2014-08-29
"D003",2014-08-31
"D003",2014-09-12
"D003",2014-10-03
"D003",2014-10-10
"D003",2014-10-10
"D003",2014-10-10
"D003",2014-10-31
"D003",2014-10-31
"D003",2014-11-21
"D003",2014-11-28
"D003",2014-11-29
"D003",2014-12-06
"D003",2014-12-06
"D003",2014-12-13
"D003",2014-12-13
"D003",2014-12-28
"D003",2014-12-31
"D003",2015-01-09
"D003",2015-01-18
"D003",2015-02-01
"D003",2015-02-07
"D003",2015-02-12
"D003",2015-02-14
"D003",2015-04-12
"D003",2015-04-12
"D003",2015-04-24
"D003",2015-04-24
"D003",2015-04-24
"D003",2015-04-24
"D003",2015-04-24
"D003",2015-04-27
"D003",2015-04-27
"D003",2015-04-27
"D003",2015-05-05
"D003",2015-05-08
"D003",2015-05-08
"D003",2015-05-21
"D003",2015-05-21
"D003",2015-05-24
"D003",2015-05-24
"D003",2015-05-24
"D003",2015-05-24
"D003",2015-05-24
"D003",2015-05-24
"D003",2015-06-05
"D003",2015-06-19
"D003",2015-08-02
"D003",2015-08-07
"D003",2015-08-30
"D003",2015-09-17
"D003",2015-10-10
"D003",2015-10-16
"D003",2015-10-16
"D003",2015-10-24
"D003",2015-10-24
"D003",2015-11-06
"D003",2015-11-06
"D003",2015-12-04
"D003",2015-12-05
"D003",2015-12-05
"D003",2015-12-05
"D003",2015-12-26
"D003",2015-12-27
"D003",2015-12-31
"D003",2015-12-31
"D003",2016-01-19
"D003",2016-01-23
"D003",2016-02-02
"D003",2016-02-16
"D003",2016-02-16
"D003",2016-02-16
"D003",2016-03-05
"D003",2016-04-02
"D003",2016-04-06
"D003",2016-04-27
"D003",2016-05-28
"D003",2016-05-29
"D003",2016-05-30
"D003",2016-05-30
"D003",2016-05-30
"D003",2016-05-30
"D003",2016-05-30
"D003",2016-05-30
"D003",2016-06-02
